node,commodity,level,year,time,value,unit
R12_CHN,comm_heat_lightoil,final,2045,year,7.324934555138963,GWa
R12_CHN,comm_hotwater_biomass,final,2045,year,1.750963299206616,GWa
R12_CHN,comm_hotwater_coal,final,2045,year,6.127121218967886,GWa
R12_CHN,comm_hotwater_d_heat,final,2045,year,17.91708321969115,GWa
R12_CHN,comm_hotwater_electr,final,2045,year,37.976995418654774,GWa
R12_CHN,comm_hotwater_gas,final,2045,year,8.060568550521529,GWa
R12_CHN,comm_hotwater_lightoil,final,2045,year,7.911704354432014,GWa
R12_CHN,comm_other_uses_electr,final,2045,year,76.42062831831844,GWa
R12_CHN,comm_cool_electr,final,2050,year,27.343238679974142,GWa
R12_CHN,comm_heat_biomass,final,2050,year,1.774651456597968,GWa
R12_CHN,comm_heat_coal,final,2050,year,5.373259966807938,GWa
R12_CHN,comm_heat_d_heat,final,2050,year,8.791285324940612,GWa
R12_CHN,comm_heat_electr,final,2050,year,20.78010432636128,GWa
R12_CHN,comm_heat_gas,final,2050,year,7.125792882987675,GWa
R12_CHN,comm_heat_lightoil,final,2050,year,6.703684840413156,GWa
R12_CHN,comm_hotwater_biomass,final,2050,year,1.6026474827491382,GWa
R12_CHN,comm_hotwater_coal,final,2050,year,5.635634828674776,GWa
R12_CHN,comm_hotwater_d_heat,final,2050,year,18.273001105041804,GWa
R12_CHN,comm_hotwater_electr,final,2050,year,38.55462061310068,GWa
R12_CHN,comm_hotwater_gas,final,2050,year,7.412117644438216,GWa
R12_CHN,comm_hotwater_lightoil,final,2050,year,7.284781271621403,GWa
R12_CHN,comm_other_uses_electr,final,2050,year,81.33639364958302,GWa
R12_CHN,comm_cool_electr,final,2055,year,26.185393511070107,GWa
R12_CHN,comm_heat_biomass,final,2055,year,1.5954856262593633,GWa
R12_CHN,comm_heat_coal,final,2055,year,4.8716598748708515,GWa
R12_CHN,comm_heat_d_heat,final,2055,year,8.755395875322645,GWa
R12_CHN,comm_heat_electr,final,2055,year,20.41786988550998,GWa
R12_CHN,comm_heat_gas,final,2055,year,6.457375404198151,GWa
R12_CHN,comm_heat_lightoil,final,2055,year,6.09113220716358,GWa
R12_CHN,comm_hotwater_biomass,final,2055,year,1.446385394862203,GWa
R12_CHN,comm_hotwater_coal,final,2055,year,5.149703480417854,GWa
R12_CHN,comm_hotwater_d_heat,final,2055,year,18.294830980346514,GWa
R12_CHN,comm_hotwater_electr,final,2055,year,38.37397847551557,GWa
R12_CHN,comm_hotwater_gas,final,2055,year,6.768703283911832,GWa
R12_CHN,comm_hotwater_lightoil,final,2055,year,6.674384244401489,GWa
R12_CHN,comm_other_uses_electr,final,2055,year,83.97418749472405,GWa
R12_CHN,comm_cool_electr,final,2060,year,24.866294316419122,GWa
R12_CHN,comm_heat_biomass,final,2060,year,1.4198360390571307,GWa
R12_CHN,comm_heat_coal,final,2060,year,4.389591960417751,GWa
R12_CHN,comm_heat_d_heat,final,2060,year,8.621379586397007,GWa
R12_CHN,comm_heat_electr,final,2060,year,19.827875018936133,GWa
R12_CHN,comm_heat_gas,final,2060,year,5.814161479905668,GWa
R12_CHN,comm_heat_lightoil,final,2060,year,5.505827055823458,GWa
R12_CHN,comm_hotwater_biomass,final,2060,year,1.2923446109822325,GWa
R12_CHN,comm_hotwater_coal,final,2060,year,4.691118367202728,GWa
R12_CHN,comm_hotwater_d_heat,final,2060,year,18.078050604174422,GWa
R12_CHN,comm_hotwater_electr,final,2060,year,37.674797718035634,GWa
R12_CHN,comm_hotwater_gas,final,2060,year,6.159931761237535,GWa
R12_CHN,comm_hotwater_lightoil,final,2060,year,6.104785791884662,GWa
R12_CHN,comm_other_uses_electr,final,2060,year,85.12867926408214,GWa
R12_CHN,comm_cool_electr,final,2070,year,22.112013129603607,GWa
R12_CHN,comm_heat_biomass,final,2070,year,1.1058846006484193,GWa
R12_CHN,comm_heat_coal,final,2070,year,3.538843122005942,GWa
R12_CHN,comm_heat_d_heat,final,2070,year,8.187427668642185,GWa
R12_CHN,comm_heat_electr,final,2070,year,18.32379520300386,GWa
R12_CHN,comm_heat_gas,final,2070,year,4.67807863137088,GWa
R12_CHN,comm_heat_lightoil,final,2070,year,4.476777677033739,GWa
