R12,urt,arch,mat,eneff,material,scenario,year,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
PAO,urb,comm,perm,sr21_std,aluminum,SSP2,2060,388.61569241940003,0,3.023404173778,0.7753382361094807,0,0.006032079776678761
PAO,urb,comm,perm,sr21_std,aluminum,SSP2,2070,424.20607782078,0,3.023212700431,0.8463456276735406,0,0.0060316977627508095
PAO,urb,comm,perm,sr21_std,aluminum,SSP2,2080,446.72836296649,0,2.953185284053,0.8912804802249499,0,0.005891984069884216
PAO,urb,comm,perm,sr21_std,aluminum,SSP2,2090,461.32791124857,0,2.697476507835,0.9204084548122623,0,0.005381812207610029
PAO,urb,comm,perm,sr21_std,aluminum,SSP2,2100,471.40972878721,0,2.345934053329,0.9405229761238483,0,0.004680439844344461
PAO,urb,comm,perm,sr21_std,cement,SSP2,2025,58.85601233957,0,0,8.833655544592972,0,0
PAO,urb,comm,perm,sr21_std,cement,SSP2,2030,136.64011740507001,0,0.501914434508,20.508214585880488,0,0.07533196781532471
PAO,urb,comm,perm,sr21_std,cement,SSP2,2035,201.71232198312,0,1.191980425594,30.27485384532134,0,0.17890346418382003
PAO,urb,comm,perm,sr21_std,cement,SSP2,2040,255.6293650174,0,1.778282765686,38.367223124434226,0,0.26690115059655484
PAO,urb,comm,perm,sr21_std,cement,SSP2,2045,299.90706990971,0,2.252165609506,45.012831241191385,0,0.3380258776107841
PAO,urb,comm,perm,sr21_std,cement,SSP2,2050,335.97606596002,0,2.613196924668,50.42640029356682,0,0.39221280180388507
PAO,urb,comm,perm,sr21_std,cement,SSP2,2055,365.15158054299,0,2.867025680132,54.805331789558295,0,0.4303097727665985
PAO,urb,comm,perm,sr21_std,cement,SSP2,2060,388.61569241940003,0,3.023404173778,58.327043059770276,0,0.45378050570516604
PAO,urb,comm,perm,sr21_std,cement,SSP2,2070,424.20607782078,0,3.023212700431,63.66877779234456,0,0.4537517676115349
PAO,urb,comm,perm,sr21_std,cement,SSP2,2080,446.72836296649,0,2.953185284053,67.04913098220116,0,0.4432414042625531
PAO,urb,comm,perm,sr21_std,cement,SSP2,2090,461.32791124857,0,2.697476507835,69.24036643129124,0,0.4048622623695071
PAO,urb,comm,perm,sr21_std,cement,SSP2,2100,471.40972878721,0,2.345934053329,70.7535390004071,0,0.35209951428371933
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2025,58.85601233957,0,0,58.891036963953155,0,0
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2030,136.64011740507001,0,0.501914434508,136.72143057253658,0,0.5022131187688313
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2035,201.71232198312,0,1.191980425594,201.83235896880893,0,1.1926897612254668
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2040,255.6293650174,0,1.778282765686,255.7814874962282,0,1.779341003977032
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2045,299.90706990971,0,2.252165609506,300.08554160794256,0,2.253505850738561
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2050,335.97606596002,0,2.613196924668,336.17600195711213,0,2.6147520120259005
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2055,365.15158054299,0,2.867025680132,365.3688785970553,0,2.86873181844399
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2060,388.61569241940003,0,3.023404173778,388.8469537318019,0,3.0252033713677737
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2070,424.20607782078,0,3.023212700431,424.4585186156304,0,3.0250117840768995
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2080,446.72836296649,0,2.953185284053,446.99420654800775,0,2.954942695083687
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2090,461.32791124857,0,2.697476507835,461.6024428752749,0,2.699081749130048
PAO,urb,comm,perm,sr21_std,concrete,SSP2,2100,471.40972878721,0,2.345934053329,471.69026000271396,0,2.3473300952247955
PAO,urb,comm,perm,sr21_std,copper,SSP2,2025,58.85601233957,0,0,0.003992976508427138,0,0
PAO,urb,comm,perm,sr21_std,copper,SSP2,2030,136.64011740507001,0,0.501914434508,0.009270094204808248,0,3.405144974260377e-5
PAO,urb,comm,perm,sr21_std,copper,SSP2,2035,201.71232198312,0,1.191980425594,0.013684796694888922,0,8.086769131489205e-5
PAO,urb,comm,perm,sr21_std,copper,SSP2,2040,255.6293650174,0,1.778282765686,0.017342698032098473,0,1.206442812971742e-4
PAO,urb,comm,perm,sr21_std,copper,SSP2,2045,299.90706990971,0,2.252165609506,0.02034663643115303,0,1.5279397999240404e-4
PAO,urb,comm,perm,sr21_std,copper,SSP2,2050,335.97606596002,0,2.613196924668,0.022793670271646672,0,1.772874769682298e-4
PAO,urb,comm,perm,sr21_std,copper,SSP2,2055,365.15158054299,0,2.867025680132,0.024773028704544606,0,1.9450801599971344e-4
PAO,urb,comm,perm,sr21_std,copper,SSP2,2060,388.61569241940003,0,3.023404173778,0.026364907661159214,0,2.0511722356799265e-4
PAO,urb,comm,perm,sr21_std,copper,SSP2,2070,424.20607782078,0,3.023212700431,0.02877947105382784,0,2.0510423341548028e-4
PAO,urb,comm,perm,sr21_std,copper,SSP2,2080,446.72836296649,0,2.953185284053,0.03030745353052131,0,2.003533538123916e-4
PAO,urb,comm,perm,sr21_std,copper,SSP2,2090,461.32791124857,0,2.697476507835,0.031297932684760575,0,1.8300526827533147e-4
PAO,urb,comm,perm,sr21_std,copper,SSP2,2100,471.40972878721,0,2.345934053329,0.03198191481324353,0,1.5915552537296466e-4
PAO,urb,comm,perm,sr21_std,glass,SSP2,2025,58.85601233957,0,0,0.3478007493862163,0,0
